Sample ID,Class
1,8
2,7
3,1
4,7
5,1
6,2
7,1
8,9
9,5
10,4
11,5
12,6
13,3
14,2
15,0
16,7
17,6
18,4
19,6
20,4
21,5
22,7
23,3
24,9
25,8
26,7
27,4
28,3
29,4
30,4
31,2
32,2
33,9
34,7
35,6
36,7
37,1
38,2
39,8
40,3
41,0
42,6
43,4
44,0
45,8
46,7
47,8
48,2
49,9
50,0
51,4
52,3
53,4
54,0
55,7
56,0
57,7
58,4
59,6
60,1
61,3
62,7
63,2
64,8
65,8
66,0
67,1
68,0
69,5
70,1
71,5
72,1
73,4
74,9
75,4
76,8
77,7
78,3
79,7
80,8
81,9
82,1
83,4
84,4
85,0
86,2
87,5
88,7
89,7
90,5
91,3
92,0
93,6
94,2
95,4
96,1
97,6
98,8
99,6
100,9
101,3
102,3
103,0
104,3
105,6
106,6
107,4
108,8
109,8
110,7
111,4
112,6
113,3
114,6
115,0
116,4
117,8
118,5
119,7
120,8
121,6
122,7
123,5
124,5
125,1
126,0
127,7
128,4
129,5
130,6
131,5
132,9
133,1
134,4
135,4
136,9
137,4
138,5
139,4
140,8
141,9
142,8
143,6
144,7
145,6
146,2
147,1
148,1
149,1
150,4
151,9
152,4
153,8
154,3
155,4
156,0
157,3
158,4
159,5
160,9
161,9
162,4
163,7
164,5
165,0
166,0
167,1
168,6
169,9
170,9
171,7
172,8
173,2
174,6
175,6
176,1
177,0
178,2
179,8
180,3
181,1
182,2
183,4
184,8
185,3
186,8
187,4
188,0
189,9
190,2
191,7
192,8
193,6
194,2
195,2
196,1
197,3
198,1
199,6
200,2
201,7
202,5
203,3
204,7
205,8
206,4
207,2
208,3
209,3
210,8
211,8
212,5
213,3
214,1
215,1
216,1
217,0
218,0
219,3
220,8
221,8
222,1
223,4
224,9
225,7
226,3
227,9
228,4
229,6
230,1
231,9
232,5
233,1
234,1
235,7
236,2
237,7
238,2
239,7
240,1
241,6
242,0
243,3
244,0
245,4
246,6
247,0
248,8
249,8
250,8
251,6
252,1
253,8
254,0
255,4
256,7
257,3
258,4
259,0
260,7
261,3
262,9
263,1
264,2
265,9
266,4
267,4
268,1
269,5
270,4
271,3
272,1
273,4
274,3
275,5
276,3
277,8
278,1
279,6
280,4
281,3
282,7
283,3
284,0
285,5
286,4
287,4
288,4
289,8
290,1
291,4
292,2
293,4
294,4
295,1
296,8
297,6
298,9
299,4
300,4
301,0
302,2
303,7
304,0
305,3
306,6
307,4
308,3
309,0
310,9
311,1
312,3
313,0
314,6
315,2
316,8
317,4
318,6
319,4
320,1
321,7
322,3
323,6
324,2
325,4
326,6
327,3
328,7
329,9
330,1
331,2
332,7
333,8
